Service: detexify, mapping: similar-0
Number of symbols: 872
Recall scores:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \Ankh                     |        14 |  50.0 % |  57.1 % |  57.1 % |  57.1 % |  57.1 % |
| \textquotedblleft         |        14 |  64.3 % |  78.6 % |  92.9 % |  92.9 % |  92.9 % |
| \upvarsigma               |        14 |  21.4 % |  42.9 % |  57.1 % |  57.1 % |  71.4 % |
| \textchi                  |        14 |   7.1 % |  35.7 % |  42.9 % |  50.0 % |  64.3 % |
| \Lightning                |        14 |  35.7 % |  64.3 % |  71.4 % |  71.4 % |  71.4 % |
| \textrthook               |        14 |   0.0 % |   7.1 % |  14.3 % |  28.6 % |  35.7 % |
| \texttoneletterstem       |        14 |   0.0 % |   7.1 % |  14.3 % |  14.3 % |  14.3 % |
| \textservicemark          |        14 |   7.1 % |  14.3 % |  14.3 % |  14.3 % |  21.4 % |
| \textvibyy                |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \precnsim                 |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \nsupseteqq               |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{o}              |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{m}              |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textbard                 |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textctt                  |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \varsupsetneqq            |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Telefon                  |        13 |  30.8 % |  46.2 % |  53.8 % |  61.5 % |  69.2 % |
| \flat                     |        13 |  92.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{H}               |        13 |  61.5 % |  84.6 % | 100.0 % | 100.0 % | 100.0 % |
| \upsigma                  |        13 |  23.1 % |  46.2 % |  61.5 % |  76.9 % |  76.9 % |
| \updelta                  |        13 |  15.4 % |  76.9 % |  84.6 % |  84.6 % |  92.3 % |
| \textmusicalnote          |        13 |  61.5 % |  69.2 % |  69.2 % |  69.2 % |  69.2 % |
| \upzeta                   |        13 |  46.2 % |  53.8 % |  61.5 % |  69.2 % |  69.2 % |
| \nvDash                   |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbeta                 |        13 |  30.8 % |  30.8 % |  46.2 % |  46.2 % |  69.2 % |
| \Upomega                  |        13 |  23.1 % |  61.5 % |  92.3 % | 100.0 % | 100.0 % |
| \textscriptv              |        13 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{d}              |        13 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{e}              |        13 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{p}              |        13 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{w}              |        13 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textcloserevepsilon      |        13 |  46.2 % |  61.5 % |  69.2 % |  69.2 % |  69.2 % |
| \texttctclig              |        13 |  23.1 % |  30.8 % |  30.8 % |  30.8 % |  30.8 % |
| \texttrademark            |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \jupiter                  |        12 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttheta                |        12 |  33.3 % |  83.3 % |  83.3 % |  91.7 % |  91.7 % |
| \rightleftarrows          |        12 |  66.7 % |  66.7 % |  83.3 % |  83.3 % |  91.7 % |
| \Upphi                    |        12 |  58.3 % |  66.7 % |  75.0 % |  75.0 % |  75.0 % |
| \textbraceright           |        12 |  25.0 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \Denarius                 |        12 |  58.3 % |  75.0 % |  91.7 % | 100.0 % | 100.0 % |
| \varkappa                 |        12 |  41.7 % |  66.7 % |  75.0 % |  91.7 % |  91.7 % |
| \doteq                    |        12 |   0.0 % |  41.7 % |  41.7 % |  58.3 % |  75.0 % |
| \textbackslash            |        12 |   8.3 % |  66.7 % |  91.7 % | 100.0 % | 100.0 % |
| \leftmoon                 |        12 |  91.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upharpoonright           |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{B}               |        12 |  33.3 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \dh                       |        12 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textyogh                 |        12 |  66.7 % |  75.0 % |  91.7 % |  91.7 % | 100.0 % |
| \mathcal{G}               |        12 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \curvearrowright          |        12 |  75.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \textdollar               |        12 |  33.3 % |  66.7 % |  75.0 % | 100.0 % | 100.0 % |
| \rightrightarrows         |        12 |  50.0 % |  58.3 % |  58.3 % |  58.3 % |  58.3 % |
| \mathfrak{x}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{V}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \texthtp                  |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{c}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{i}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{s}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{y}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textbarg                 |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \texthtscg                |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \precnapprox              |        12 |   0.0 % |   0.0 % |   0.0 % |   8.3 % |   8.3 % |
| \ntrianglerighteq         |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textlhookt               |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textdzlig                |        12 |   0.0 % |   0.0 % |   8.3 % |   8.3 % |   8.3 % |
| \textOlyoghlig            |        12 |   0.0 % |   8.3 % |   8.3 % |   8.3 % |  16.7 % |
| \textturnlonglegr         |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{O}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{R}              |        11 |  81.8 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \textlangle               |        11 |  36.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \iota                     |        11 |  45.5 % |  63.6 % |  72.7 % |  81.8 % |  81.8 % |
| \upgamma                  |        11 |  18.2 % |  27.3 % |  36.4 % |  54.5 % |  63.6 % |
| \textramshorns            |        11 |  27.3 % |  63.6 % |  63.6 % |  81.8 % |  90.9 % |
| \bigodot                  |        11 |   9.1 % |  27.3 % |  36.4 % |  45.5 % |  63.6 % |
| \boxplus                  |        11 |  54.5 % |  63.6 % |  63.6 % |  72.7 % |  72.7 % |
| \textdiscount             |        11 |  45.5 % |  54.5 % |  63.6 % |  72.7 % |  72.7 % |
| \sphericalangle           |        11 |  63.6 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \textlnot                 |        11 |  27.3 % |  90.9 % |  90.9 % | 100.0 % | 100.0 % |
| \mathcal{U}               |        11 |  72.7 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \gtrless                  |        11 |   9.1 % |  45.5 % |  81.8 % | 100.0 % | 100.0 % |
| \ominus                   |        11 |  27.3 % |  72.7 % |  81.8 % |  81.8 % | 100.0 % |
| \subsetneqq               |        11 |  72.7 % |  81.8 % |  90.9 % |  90.9 % |  90.9 % |
| \circledcirc              |        11 |  81.8 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \rrceil                   |        11 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textpilcrow              |        11 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{h}              |        11 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \succapprox               |        11 |   0.0 % |  27.3 % |  36.4 % |  54.5 % |  81.8 % |
| \textcrg                  |        11 |  81.8 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \textcttctclig            |        11 |  45.5 % |  45.5 % |  45.5 % |  45.5 % |  45.5 % |
| \mathfrak{L}              |        11 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textctdctzlig            |        11 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \circledR                 |        10 |  50.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \sun                      |        10 |  90.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \rightarrowtail           |        10 |  40.0 % |  40.0 % |  40.0 % |  40.0 % |  40.0 % |
| \dj                       |        10 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dashv                    |        10 |  40.0 % |  50.0 % |  70.0 % |  80.0 % |  80.0 % |
| \upphi                    |        10 |  50.0 % |  70.0 % |  80.0 % |  80.0 % |  80.0 % |
| \oe                       |        10 |  70.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \textdblhyphen            |        10 |  70.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigtriangleup            |        10 |  40.0 % |  70.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textyen                  |        10 |  90.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \male                     |        10 |  70.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \mathscr{E}               |        10 |  50.0 % |  60.0 % |  70.0 % |  80.0 % |  90.0 % |
| \Re                       |        10 |  10.0 % |  20.0 % |  20.0 % |  70.0 % |  80.0 % |
| \upnu                     |        10 |  30.0 % |  50.0 % |  50.0 % |  80.0 % |  90.0 % |
| \measuredangle            |        10 |  70.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \Yinyang                  |        10 |  50.0 % |  60.0 % |  60.0 % |  60.0 % |  60.0 % |
| \uplus                    |        10 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uptheta                  |        10 |  30.0 % |  30.0 % |  30.0 % |  50.0 % |  50.0 % |
| \textrightarrow           |        10 |  50.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upeta                    |        10 |  50.0 % |  70.0 % |  90.0 % |  90.0 % |  90.0 % |
| \textrhookrevepsilon      |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \lbag                     |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \CircledA                 |        10 |  50.0 % |  80.0 % |  80.0 % |  90.0 % |  90.0 % |
| \succnsim                 |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{a}              |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{b}              |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{g}              |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{k}              |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textdctzlig              |        10 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \leftarrowtail            |        10 |  40.0 % |  80.0 % |  90.0 % |  90.0 % |  90.0 % |
| \niplus                   |        10 |   0.0 % |   0.0 % |  20.0 % |  30.0 % |  50.0 % |
| \Upgamma                  |         9 |   0.0 % |  22.2 % |  44.4 % |  44.4 % |  55.6 % |
| \EURdig                   |         9 |  11.1 % |  33.3 % |  66.7 % |  66.7 % |  77.8 % |
| \mathunderscore           |         9 |  22.2 % |  66.7 % |  77.8 % |  88.9 % | 100.0 % |
| \th                       |         9 |  11.1 % |  22.2 % |  33.3 % |  33.3 % |  66.7 % |
| \varsigma                 |         9 |  55.6 % |  66.7 % |  66.7 % |  66.7 % |  88.9 % |
| \nRightarrow              |         9 |  88.9 % |  88.9 % |  88.9 % |  88.9 % |  88.9 % |
| \Updelta                  |         9 |  44.4 % |  66.7 % |  88.9 % |  88.9 % |  88.9 % |
| \mathscr{F}               |         9 |  66.7 % |  66.7 % |  77.8 % |  88.9 % | 100.0 % |
| \uppsi                    |         9 |  11.1 % |  22.2 % |  44.4 % |  77.8 % |  77.8 % |
| \Ecommerce                |         9 |  55.6 % |  77.8 % |  88.9 % |  88.9 % |  88.9 % |
| \wr                       |         9 |  66.7 % |  88.9 % |  88.9 % |  88.9 % |  88.9 % |
| \Im                       |         9 |  66.7 % |  77.8 % |  77.8 % |  77.8 % |  88.9 % |
| \textschwa                |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \complement               |         9 |  22.2 % |  33.3 % |  55.6 % |  55.6 % |  77.8 % |
| \textbigcircle            |         9 |  11.1 % |  22.2 % |  66.7 % |  77.8 % |  88.9 % |
| \guillemotleft            |         9 |  55.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pounds                   |         9 |  22.2 % |  44.4 % |  88.9 % | 100.0 % | 100.0 % |
| \mathds{h}                |         9 |  11.1 % |  11.1 % |  11.1 % |  11.1 % |  11.1 % |
| \L                        |         9 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdong                 |         9 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Lleftarrow               |         9 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textturncelig            |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varsubsetneqq            |         9 |   0.0 % |  11.1 % |  11.1 % |  33.3 % |  33.3 % |
| \mathfrak{Y}              |         9 |  22.2 % |  22.2 % |  22.2 % |  22.2 % |  33.3 % |
| \nleq                     |         8 |  25.0 % |  75.0 % |  87.5 % | 100.0 % | 100.0 % |
| \phone                    |         8 |  12.5 % |  25.0 % |  25.0 % |  37.5 % |  50.0 % |
| \Vdash                    |         8 |  25.0 % |  50.0 % |  87.5 % | 100.0 % | 100.0 % |
| \mho                      |         8 |  37.5 % |  87.5 % |  87.5 % | 100.0 % | 100.0 % |
| \leftrightsquigarrow      |         8 |  75.0 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \rightarrowtriangle       |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \natural                  |         8 |  62.5 % |  62.5 % |  62.5 % |  75.0 % |  75.0 % |
| \ncong                    |         8 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lessgtr                  |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textreferencemark        |         8 |  62.5 % |  62.5 % |  62.5 % |  62.5 % |  62.5 % |
| \upomega                  |         8 |  25.0 % |  50.0 % |  62.5 % |  87.5 % |  87.5 % |
| \mathcal{V}               |         8 |  37.5 % |  50.0 % |  50.0 % |  87.5 % |  87.5 % |
| \cdotp                    |         8 |   0.0 % |  37.5 % |  37.5 % |  37.5 % |  37.5 % |
| \Uptheta                  |         8 |  37.5 % |  62.5 % |  87.5 % |  87.5 % |  87.5 % |
| \textopencorner           |         8 |  50.0 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \textlira                 |         8 |  75.0 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| \between                  |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{B}                |         8 |  75.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscl                  |         8 |  87.5 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \parr                     |         8 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \multimap                 |         8 |  62.5 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \guillemotright           |         8 |  50.0 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \newmoon                  |         8 |   0.0 % |   0.0 % |   0.0 % |  12.5 % |  25.0 % |
| \Mundus                   |         8 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |  12.5 % |
| \mathfrak{M}              |         8 |  62.5 % |  62.5 % |  62.5 % |  87.5 % |  87.5 % |
| \permil                   |         8 |  62.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdiv                  |         8 |  25.0 % |  62.5 % |  75.0 % |  87.5 % |  87.5 % |
| \rfloor                   |         8 |  75.0 % |  87.5 % |  87.5 % |  87.5 % |  87.5 % |
| \approxeq                 |         8 |  62.5 % |  87.5 % | 100.0 % | 100.0 % | 100.0 % |
| \gnsim                    |         8 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \gnapprox                 |         8 |  37.5 % |  62.5 % |  87.5 % |  87.5 % |  87.5 % |
| \mathfrak{G}              |         8 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textpalhook              |         8 |   0.0 % |   0.0 % |  25.0 % |  25.0 % |  25.0 % |
| \hslash                   |         7 |  28.6 % |  71.4 % |  85.7 % | 100.0 % | 100.0 % |
| \dotplus                  |         7 |  57.1 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \textscr                  |         7 |  85.7 % |  85.7 % | 100.0 % | 100.0 % | 100.0 % |
| \dots                     |         7 |  14.3 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \blacktriangle            |         7 |  14.3 % |  14.3 % |  28.6 % |  28.6 % |  28.6 % |
| \nshortmid                |         7 |  57.1 % |  85.7 % | 100.0 % | 100.0 % | 100.0 % |
| \upvartheta               |         7 |  42.9 % |  85.7 % |  85.7 % |  85.7 % | 100.0 % |
| \Sun                      |         7 |  42.9 % |  42.9 % |  71.4 % |  85.7 % |  85.7 % |
| \dashrightarrow           |         7 |  71.4 % |  71.4 % |  71.4 % |  71.4 % | 100.0 % |
| \----                     |         7 |  14.3 % |  42.9 % |  42.9 % | 100.0 % | 100.0 % |
| \cancer                   |         7 |  85.7 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \diagdown                 |         7 |  14.3 % |  57.1 % |  85.7 % | 100.0 % | 100.0 % |
| \textsterling             |         7 |  14.3 % |  42.9 % |  57.1 % |  85.7 % |  85.7 % |
| \thickapprox              |         7 |  28.6 % |  71.4 % |  85.7 % |  85.7 % |  85.7 % |
| \textlbrackdbl            |         7 |  57.1 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Mobilefone               |         7 |  28.6 % |  57.1 % |  57.1 % |  57.1 % |  57.1 % |
| \circlearrowleft          |         7 |  71.4 % |  71.4 % |  71.4 % |  71.4 % |  71.4 % |
| \Bbbk                     |         7 |  57.1 % |  57.1 % |  57.1 % |  71.4 % |  71.4 % |
| \vartriangleright         |         7 |  42.9 % |  57.1 % | 100.0 % | 100.0 % | 100.0 % |
| \rbag                     |         7 |  57.1 % |  85.7 % |  85.7 % |  85.7 % | 100.0 % |
| \mathfrak{P}              |         7 |  85.7 % |  85.7 % |  85.7 % | 100.0 % | 100.0 % |
| \textcrh                  |         7 |  57.1 % |  85.7 % | 100.0 % | 100.0 % | 100.0 % |
| \textcent                 |         7 |  28.6 % |  57.1 % |  85.7 % | 100.0 % | 100.0 % |
| \textopenbullet           |         6 |   0.0 % |  33.3 % |  50.0 % |  66.7 % |  66.7 % |
| \Shilling                 |         6 |  50.0 % |  50.0 % |  66.7 % | 100.0 % | 100.0 % |
| \smallsmile               |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{P}               |         6 |  50.0 % |  50.0 % |  66.7 % |  83.3 % |  83.3 % |
| \boxdot                   |         6 |  33.3 % |  66.7 % |  66.7 % |  66.7 % |  83.3 % |
| \ataribox                 |         6 |  50.0 % |  66.7 % |  66.7 % |  83.3 % |  83.3 % |
| \EURcr                    |         6 |   0.0 % |  33.3 % |  33.3 % |  33.3 % |  66.7 % |
| \mathcal{Q}               |         6 |  66.7 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \gemini                   |         6 |  66.7 % |  83.3 % |  83.3 % |  83.3 % | 100.0 % |
| \nLeftrightarrow          |         6 |  50.0 % |  50.0 % |  66.7 % |  83.3 % |  83.3 % |
| \Uparrow                  |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \earth                    |         6 |  33.3 % |  66.7 % |  66.7 % |  66.7 % |  83.3 % |
| \cdots                    |         6 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \textgamma                |         6 |  50.0 % |  83.3 % |  83.3 % |  83.3 % | 100.0 % |
| \ddagger                  |         6 |  33.3 % |  50.0 % |  83.3 % |  83.3 % |  83.3 % |
| \Mapsto                   |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{I}               |         6 |  33.3 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \Game                     |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrevepsilon           |         6 |   0.0 % |   0.0 % |  16.7 % |  66.7 % |  83.3 % |
| \ng                       |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvarrho                 |         6 |  16.7 % |  16.7 % |  33.3 % |  50.0 % |  66.7 % |
| \mathcal{K}               |         6 |  33.3 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| \Upsilon                  |         6 |  33.3 % |  50.0 % |  50.0 % |  66.7 % |  66.7 % |
| \llparenthesis            |         6 |  83.3 % |  83.3 % | 100.0 % | 100.0 % | 100.0 % |
| \textquotestraightdblbase |         6 |  50.0 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \circledS                 |         6 |  66.7 % |  66.7 % |  83.3 % |  83.3 % |  83.3 % |
| \succsim                  |         6 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \pitchfork                |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rceil                    |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EyesDollar               |         6 |  33.3 % |  33.3 % |  33.3 % |  83.3 % |  83.3 % |
| \aries                    |         6 |  50.0 % |  50.0 % |  66.7 % |  83.3 % | 100.0 % |
| \textperthousand          |         6 |  50.0 % |  66.7 % |  83.3 % |  83.3 % |  83.3 % |
| \frown                    |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \quotesinglbase           |         6 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \backepsilon              |         6 |   0.0 % |  33.3 % |  66.7 % |  66.7 % |  66.7 % |
| \imath                    |         6 |  16.7 % |  50.0 % |  50.0 % |  66.7 % |  66.7 % |
| \textscg                  |         6 |  50.0 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \Upxi                     |         6 |  33.3 % |  66.7 % |  66.7 % | 100.0 % | 100.0 % |
| \Leo                      |         6 |  50.0 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \varointctrclockwise      |         6 |  16.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Updownarrow              |         6 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \unlhd                    |         6 |  50.0 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \succnapprox              |         6 |  16.7 % |  33.3 % |  50.0 % |  83.3 % | 100.0 % |
| \UParrow                  |         6 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \texthtq                  |         6 |   0.0 % |   0.0 % |  16.7 % |  16.7 % |  16.7 % |
| \texthtrtaild             |         6 |   0.0 % |   0.0 % |   0.0 % |  16.7 % |  33.3 % |
| \ldots                    |         5 |   0.0 % |  20.0 % |  40.0 % |  40.0 % |  40.0 % |
| \upsilon                  |         5 |  20.0 % |  60.0 % |  80.0 % |  80.0 % | 100.0 % |
| \ngtr                     |         5 |  80.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{H}                |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{W}               |         5 |  40.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{I}               |         5 |  60.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textfractionsolidus      |         5 |  40.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsch                  |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \supsetneq                |         5 |  60.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \quotedblbase             |         5 |   0.0 % |  40.0 % |  60.0 % |  60.0 % | 100.0 % |
| \MVRightarrow             |         5 |  60.0 % |  60.0 % |  60.0 % |  80.0 % |  80.0 % |
| \scorpio                  |         5 |  60.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nnearrow                 |         5 |  40.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rhd                      |         5 |  40.0 % |  60.0 % |  60.0 % |  80.0 % |  80.0 % |
| \bigtriangledown          |         5 |  60.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \mathds{A}                |         5 |  20.0 % |  40.0 % |  40.0 % |  40.0 % |  60.0 % |
| \Capricorn                |         5 |  60.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \geqq                     |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \barwedge                 |         5 |  80.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Uplambda                 |         5 |  20.0 % |  40.0 % |  80.0 % | 100.0 % | 100.0 % |
| \Lbag                     |         5 |  60.0 % |  60.0 % |  80.0 % |  80.0 % | 100.0 % |
| \textnumero               |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \clock                    |         5 |  20.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \ddag                     |         5 |   0.0 % |  20.0 % |  60.0 % |  60.0 % |  80.0 % |
| \textrtailn               |         5 |  60.0 % |  60.0 % |  60.0 % |  60.0 % |  60.0 % |
| \nless                    |         5 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textpertenthousand       |         5 |  60.0 % |  80.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sqsubset                 |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \kreuz                    |         5 |  20.0 % |  20.0 % |  20.0 % |  20.0 % |  20.0 % |
| \leqq                     |         5 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Aquarius                 |         5 |   0.0 % |  60.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{F}              |         5 |  60.0 % |  60.0 % |  80.0 % |  80.0 % |  80.0 % |
| \Scorpio                  |         5 |  40.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
